Plan Day,WONUM,EmployeeID,Start Date/Time,Finish Date/Time
1,0016678408,15492,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016602166,9030,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016678408,33142,2021-03-10 08:00:00,2021-03-10 16:00:00
3,0016747808,7328,2021-03-10 08:00:00,2021-03-10 16:00:00
3,0016747808,7270,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016602166,24441,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403435,16743,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403444,20602,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403444,18004,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403435,4203,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016864889,30885,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403444,601,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016403435,1775,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016694949,22201,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016442477,24346,2021-03-10 08:00:00,2021-03-10 11:00:00
1,0016611095,24346,2021-03-10 13:00:00,2021-03-10 14:00:00
1,0016611096,24346,2021-03-10 15:00:00,2021-03-10 16:00:00
1,0016589517,22336,2021-03-10 08:00:00,2021-03-10 16:00:00
2,0016737887,4443,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016442477,25803,2021-03-10 08:00:00,2021-03-10 11:00:00
1,0016611095,25803,2021-03-10 13:00:00,2021-03-10 14:00:00
1,0016611096,25803,2021-03-10 15:00:00,2021-03-10 16:00:00
1,0016702758,13945,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016640506,30192,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016670689,24327,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016695058,21572,2021-03-10 08:00:00,2021-03-10 10:00:00
1,0014095879,21572,2021-03-10 11:00:00,2021-03-10 13:00:00
1,0016462956,21572,2021-03-10 14:00:00,2021-03-10 15:00:00
1,0016748213,19743,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016661651,2102,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016670690,4607,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016695047,24126,2021-03-10 08:00:00,2021-03-10 16:00:00
1,0016695058,24348,2021-03-10 08:00:00,2021-03-10 10:00:00
